"fov","cell_ID","Area","AspectRatio","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.MembraneStain_B2M","Max.MembraneStain_B2M","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI"
32,107,11218,1.11,2752,4002,153827.817108155,-38484.1113230387,129,116,2184,15453,27,333,1068,7555,48,701,1348,3619
32,108,16263,0.79,2135,3966,153210.817108155,-38520.1113230387,147,185,4358,25752,47,474,2208,19068,64,973,975,3953
32,109,5459,1.52,3952,4004,155027.817108155,-38482.1113230387,131,86,2410,16945,57,3494,1138,5457,60,5536,1786,4334
32,110,8944,1.37,4090,3996,155165.817108155,-38490.1113230387,133,97,3606,14526,65,6031,743,10107,108,9045,879,3183
32,111,6691,1.23,157,3999,151232.817108155,-38487.1113230387,107,87,2022,17284,143,3076,633,4974,147,4656,2555,4797
32,112,6642,0.94,960,3994,152035.817108155,-38492.1113230387,100,106,3272,19712,112,4468,722,4472,100,5233,1665,3742
32,113,5490,1.04,3217,4001,154292.817108155,-38485.1113230387,86,83,3715,17655,68,448,1542,4356,55,622,541,1937
32,114,6162,1.37,1189,3996,152264.817108155,-38490.1113230387,122,89,1959,9239,92,5511,798,5565,91,6004,1311,3331
32,115,6017,1.45,1449,4009,152524.817108155,-38477.1113230387,116,80,2963,10473,80,3319,1409,5827,67,5939,1088,2944
32,116,7174,0.95,2647,4001,153722.817108155,-38485.1113230387,91,96,1450,8023,10,199,790,4409,33,659,559,2030
32,117,18448,0.68,3003,3946,154078.817108155,-38540.1113230387,139,203,3371,22064,40,395,948,6978,56,824,725,2270
32,118,13860,0.45,3290,3946,154365.817108155,-38540.1113230387,92,205,2467,16563,32,4451,1552,10506,60,7139,360,2114
32,119,7797,1.2,726,3985,151801.817108155,-38501.1113230387,113,94,5100,25464,35,410,703,3026,40,715,1180,3563
32,120,4976,0.98,1235,3989,152310.817108155,-38497.1113230387,96,98,2781,7419,62,357,1727,4641,60,734,1745,3802
32,121,4917,1.23,3978,3985,155053.817108155,-38501.1113230387,113,92,2316,10064,112,3299,1654,16548,125,6016,1092,2909
32,122,9801,0.94,1932,3961,153007.817108155,-38525.1113230387,126,134,2085,13559,22,477,693,5753,27,779,806,2700
32,123,7165,0.87,3103,3972,154178.817108155,-38514.1113230387,91,105,2529,9376,50,660,1456,3674,46,594,740,2823
32,124,5626,0.97,46,3969,151121.817108155,-38517.1113230387,94,97,2002,11417,178,2501,620,4410,180,5148,1932,3870
32,125,8904,1.84,399,3970,151474.817108155,-38516.1113230387,158,86,5919,28383,278,4818,1802,9554,51,1111,734,3106
32,126,5646,1.45,873,3976,151948.817108155,-38510.1113230387,113,78,2353,16776,140,889,951,3041,117,1525,2436,4597
32,127,2503,1.02,1363,3978,152438.817108155,-38508.1113230387,62,61,3436,16137,47,401,531,3406,42,309,982,2595
32,128,8771,0.68,3451,3950,154526.817108155,-38536.1113230387,93,136,1981,12513,57,529,811,4071,65,1008,1786,4198
32,129,6554,0.93,3576,3956,154651.817108155,-38530.1113230387,95,102,2016,6426,118,3947,1675,6538,151,6791,2073,4805
32,130,8533,1.06,992,3941,152067.817108155,-38545.1113230387,133,126,2622,19861,83,4843,733,5687,91,7196,1268,3230
32,131,13194,1.38,1454,3949,152529.817108155,-38537.1113230387,177,128,3120,18044,89,497,1813,6926,62,1256,1056,3552
32,132,6662,1.33,2421,3961,153496.817108155,-38525.1113230387,132,99,2299,9952,58,4066,1697,7576,87,8631,876,3846
32,133,10771,0.61,3208,3927,154283.817108155,-38559.1113230387,102,166,4599,30122,54,3960,2173,7460,69,6585,1193,4447
32,134,5479,0.78,3368,3929,154443.817108155,-38557.1113230387,74,95,2949,11491,54,778,1741,6177,50,700,451,1338
32,135,8512,1.55,230,3943,151305.817108155,-38543.1113230387,133,86,3701,23111,131,1055,940,2703,64,579,1006,3072
32,136,8642,1.13,1277,3923,152352.817108155,-38563.1113230387,128,113,2459,65191,80,2169,1126,5572,70,5034,2345,4594
32,137,6403,1.45,91,3940,151166.817108155,-38546.1113230387,126,87,2401,14263,139,2328,515,3252,117,5221,1368,3124
32,138,9456,0.67,3661,3916,154736.817108155,-38570.1113230387,95,141,3127,17415,45,324,2345,15585,59,1213,778,2927
32,139,8577,1.08,868,3918,151943.817108155,-38568.1113230387,134,124,3062,16193,77,4032,1194,9256,71,6247,993,4158
32,140,9773,1.32,1818,3931,152893.817108155,-38555.1113230387,141,107,3210,13006,26,475,2073,12174,37,1120,125,1035
32,141,5271,1.83,4001,3938,155076.817108155,-38548.1113230387,126,69,3370,20084,62,1911,2715,34069,70,3087,1524,3802
32,142,7715,1.33,3745,3937,154820.817108155,-38549.1113230387,116,87,2556,9763,67,2805,1442,8980,111,4820,1530,4044
32,143,8362,0.97,1110,3916,152185.817108155,-38570.1113230387,110,113,2955,20224,81,6155,745,5103,85,7262,1636,4254
32,144,7872,0.99,2373,3918,153448.817108155,-38568.1113230387,107,108,1725,8430,49,480,1291,12730,58,733,1949,3952
32,145,5853,1.38,666,3925,151741.817108155,-38561.1113230387,113,82,7367,26651,70,4201,556,5138,69,6395,1059,2779
32,146,10957,1.22,2645,3912,153720.817108155,-38574.1113230387,143,117,2651,18976,42,613,1343,5913,58,706,651,3128
