cell_id	label	lab_color
f16_c252	BC cells	orangered1
f16_c253	BC cells	orangered1
f16_c254	BC cells	orangered1
f16_c255	BC cells	orangered1
f16_c256	BC cells	orangered1
f16_c257	Mix BC cells TAMs	purple
f16_c258	BC cells	orangered1
f16_c259	BC cells	orangered1
f16_c260	BC cells	orangered1
f16_c261	BC cells	orangered1
f16_c262	BC cells	orangered1
f16_c263	BC cells	orangered1
f16_c264	BC cells	orangered1
f16_c265	BC cells	orangered1
f16_c266	BC cells	orangered1
f16_c267	BC cells	orangered1
f16_c268	BC cells	orangered1
f16_c269	BC cells	orangered1
f16_c270	BC cells	orangered1
f16_c271	BC cells	orangered1
f16_c272	BC cells	orangered1
f16_c273	BC cells	orangered1
f16_c274	BC cells	orangered1
f16_c275	BC cells	orangered1
f16_c276	BC cells	orangered1
f16_c277	BC cells	orangered1
f16_c278	BC cells	orangered1
f16_c279	BC cells	orangered1
f16_c280	BC cells	orangered1
f16_c281	BC cells	orangered1
f16_c282	BC cells	orangered1
f16_c283	BC cells	orangered1
f16_c284	BC cells	orangered1
f16_c285	BC cells	orangered1
f16_c286	BC cells	orangered1
f16_c287	BC cells	orangered1
f16_c288	BC cells	orangered1
f16_c289	BC cells	orangered1
f16_c290	BC cells	orangered1
f16_c291	BC cells	orangered1
f16_c292	Mix BC cells TAMs	purple
f16_c293	BC cells	orangered1
f16_c294	Mix BC cells TAMs	purple
f16_c295	BC cells	orangered1
f16_c296	BC cells	orangered1
f16_c297	BC cells	orangered1
f16_c298	BC cells	orangered1
f16_c299	BC cells	orangered1
f16_c300	BC cells	orangered1
f16_c301	BC cells	orangered1
f16_c302	BC cells	orangered1
f16_c303	BC cells	orangered1
f16_c304	BC cells	orangered1
f16_c305	BC cells	orangered1
f16_c306	Mix BC cells TAMs	purple
f16_c307	BC cells	orangered1
f16_c308	BC cells	orangered1
f16_c309	BC cells	orangered1
f16_c310	BC cells	orangered1
f16_c311	BC cells	orangered1
f16_c312	BC cells	orangered1
f16_c313	BC cells	orangered1
f16_c314	BC cells	orangered1
f16_c315	BC cells	orangered1
f16_c316	BC cells	orangered1
f16_c317	BC cells	orangered1
f16_c318	BC cells	orangered1
f16_c319	BC cells	orangered1
f16_c320	BC cells	orangered1
f16_c321	BC cells	orangered1
f16_c322	BC cells	orangered1
f16_c323	BC cells	orangered1
f16_c324	Mix BC cells TAMs	purple
f16_c325	BC cells	orangered1
f16_c326	BC cells	orangered1
f16_c327	Mix BC cells TAMs	purple
f16_c328	BC cells	orangered1
f16_c329	BC cells	orangered1
f16_c330	BC cells	orangered1
f16_c331	BC cells	orangered1
f16_c332	BC cells	orangered1
f16_c333	BC cells	orangered1
f16_c334	BC cells	orangered1
f16_c335	BC cells	orangered1
f16_c336	BC cells	orangered1
f16_c337	BC cells	orangered1
f16_c338	BC cells	orangered1
