cell_id	label	lab_color
f344_c411	dropped	grey30
f344_c412	dropped	grey30
f344_c413	dropped	grey30
f344_c414	dropped	grey30
f344_c415	Proliferating.B.Cell	orchid
f344_c416	dropped	grey30
f344_c417	dropped	grey30
f344_c418	Proliferating.B.Cell	orchid
f344_c419	Proliferating.B.Cell	orchid
f344_c42	dropped	grey30
f344_c420	dropped	grey30
f344_c421	dropped	grey30
f344_c422	dropped	grey30
f344_c423	dropped	grey30
f344_c424	dropped	grey30
f344_c425	dropped	grey30
f344_c426	dropped	grey30
f344_c427	Proliferating.B.Cell	orchid
f344_c428	dropped	grey30
f344_c429	Proliferating.B.Cell	orchid
f344_c43	dropped	grey30
f344_c430	dropped	grey30
f344_c431	dropped	grey30
f344_c432	dropped	grey30
f344_c433	dropped	grey30
f344_c434	dropped	grey30
f344_c435	dropped	grey30
f344_c436	dropped	grey30
f344_c437	dropped	grey30
f344_c438	dropped	grey30
f344_c439	Proliferating.B.Cell	orchid
f344_c44	dropped	grey30
f344_c440	dropped	grey30
f344_c441	dropped	grey30
f344_c442	dropped	grey30
f344_c443	dropped	grey30
f344_c444	Proliferating.B.Cell	orchid
f344_c445	dropped	grey30
f344_c446	dropped	grey30
f344_c447	dropped	grey30
f344_c448	dropped	grey30
f344_c449	dropped	grey30
f344_c45	dropped	grey30
f344_c450	dropped	grey30
f344_c451	dropped	grey30
f344_c452	dropped	grey30
f344_c453	dropped	grey30
f344_c454	Proliferating.B.Cell	orchid
f344_c455	dropped	grey30
f344_c456	dropped	grey30
f344_c457	dropped	grey30
f344_c458	dropped	grey30
f344_c459	dropped	grey30
f344_c46	dropped	grey30
f344_c460	dropped	grey30
f344_c461	dropped	grey30
f344_c462	dropped	grey30
f344_c463	dropped	grey30
f344_c464	dropped	grey30
f344_c465	Tfh	#134502
f344_c466	Proliferating.B.Cell	orchid
f344_c467	Macrophages.2	dodgerblue4
f344_c468	dropped	grey30
f344_c469	dropped	grey30
f344_c47	dropped	grey30
f344_c470	dropped	grey30
f344_c471	dropped	grey30
f344_c472	dropped	grey30
f344_c473	dropped	grey30
f344_c474	dropped	grey30
f344_c475	dropped	grey30
f344_c476	Proliferating.B.Cell	orchid
f344_c477	dropped	grey30
f344_c478	dropped	grey30
f344_c479	dropped	grey30
f344_c48	dropped	grey30
f344_c480	Proliferating.B.Cell	orchid
f344_c481	dropped	grey30
f344_c482	dropped	grey30
f344_c483	dropped	grey30
f344_c484	dropped	grey30
f344_c485	dropped	grey30
f344_c486	dropped	grey30
f344_c487	dropped	grey30
f344_c488	dropped	grey30
f344_c489	dropped	grey30
f344_c49	dropped	grey30
f344_c490	dropped	grey30
f344_c491	dropped	grey30
f344_c492	dropped	grey30
f344_c493	dropped	grey30
f344_c494	dropped	grey30
f344_c495	dropped	grey30
f344_c496	dropped	grey30
f344_c497	Proliferating.B.Cell	orchid
f344_c498	dropped	grey30
f344_c499	dropped	grey30
f344_c5	dropped	grey30
f344_c50	Proliferating.B.Cell	orchid
f344_c500	dropped	grey30
f344_c501	dropped	grey30
f344_c502	Proliferating.B.Cell	orchid
f344_c503	dropped	grey30
f344_c504	dropped	grey30
f344_c505	dropped	grey30
f344_c506	dropped	grey30
f344_c507	dropped	grey30
f344_c508	Proliferating.B.Cell	orchid
f344_c509	dropped	grey30
f344_c51	Proliferating.B.Cell	orchid
f344_c510	dropped	grey30
f344_c511	dropped	grey30
f344_c512	dropped	grey30
f344_c513	dropped	grey30
f344_c514	dropped	grey30
f344_c515	dropped	grey30
f344_c516	dropped	grey30
f344_c517	dropped	grey30
f344_c518	dropped	grey30
f344_c519	dropped	grey30
f344_c52	unknown	#c0c8cf
f344_c520	Proliferating.B.Cell	orchid
f344_c521	dropped	grey30
f344_c522	dropped	grey30
f344_c523	dropped	grey30
f344_c524	Proliferating.B.Cell	orchid
f344_c525	dropped	grey30
f344_c526	dropped	grey30
f344_c527	dropped	grey30
f344_c528	dropped	grey30
f344_c529	dropped	grey30
f344_c53	Proliferating.B.Cell	orchid
f344_c530	dropped	grey30
f344_c531	dropped	grey30
f344_c532	Proliferating.B.Cell	orchid
f344_c533	dropped	grey30
f344_c534	dropped	grey30
f344_c535	Proliferating.B.Cell	orchid
f344_c536	dropped	grey30
f344_c537	dropped	grey30
f344_c538	dropped	grey30
f344_c539	dropped	grey30
f344_c54	dropped	grey30
f344_c540	dropped	grey30
f344_c541	Proliferating.B.Cell	orchid
f344_c542	dropped	grey30
f344_c543	Proliferating.B.Cell	orchid
f344_c544	dropped	grey30
f344_c545	dropped	grey30
f344_c546	dropped	grey30
f344_c547	Proliferating.B.Cell	orchid
f344_c548	Proliferating.B.Cell	orchid
f344_c549	dropped	grey30
