"fov","Area","AspectRatio","Width","Height","Mean.PanCK","Max.PanCK","Mean.CD68","Max.CD68","Mean.Membrane","Max.Membrane","Mean.CD45","Max.CD45","Mean.DAPI","Max.DAPI","SplitRatioToLocal","NucArea","NucAspectRatio","Circularity","Eccentricity","Perimeter","Solidity","cell_id","X","version","dualfiles","Run_name","Run_Tissue_name","ISH.concentration","Dash","tissue","Panel","assay_type","slide_ID","cell_ID","median_RNA","RNA_quantile_0.75","RNA_quantile_0.8","RNA_quantile_0.85","RNA_quantile_0.9","RNA_quantile_0.95","RNA_quantile_0.99","nCount_RNA","nFeature_RNA","median_negprobes","negprobes_quantile_0.75","negprobes_quantile_0.8","negprobes_quantile_0.85","negprobes_quantile_0.9","negprobes_quantile_0.95","negprobes_quantile_0.99","nCount_negprobes","nFeature_negprobes","Area.um2","CenterX_local_px","CenterY_local_px","CenterX_global_px","CenterY_global_px","cell"
344,5267,0.65,116,75,2790,15120,428,664,1015,2520,459,1496,2284,4328,0,3700,0.85,0.78,0.66,291,18.1,"c_1_344_593",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,593,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,10331.52,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,54.05,2,75.8448,1437,993,3447,3272,"c_1_344_593"
344,6330,0.66,92,140,2467,9256,764,1508,721,1700,542,1132,1099,2628,0,2492,0.73,0.67,0.37,345,18.35,"c_1_344_594",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,594,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,10620.61,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,99.3,2,91.152,1044,1032,3054,3233,"c_1_344_594"
344,8920,0.92,115,125,922,1256,451,1488,1130,3560,1007,7920,3252,5016,0,8064,0.98,0.83,0.74,367,24.31,"c_1_344_595",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,595,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,12581.22,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,48,2,128.448,3259,1024,5269,3241,"c_1_344_595"
344,4417,0.93,76,82,1093,5096,357,472,766,1816,631,2220,2066,5472,0,2048,0.83,0.9,0.89,249,17.74,"c_1_344_596",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,596,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,11310.27,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,40.93,2,63.6048,1594,999,3604,3266,"c_1_344_596"
344,6748,0.81,91,113,1022,1424,448,1084,1600,4628,1271,4044,4050,6236,0,5372,0.86,0.91,0.73,305,22.12,"c_1_344_597",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,597,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,13236.12,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,61.64,2,97.1712,3397,1026,5407,3239,"c_1_344_597"
344,2088,0.93,51,55,1031,1308,497,996,2008,3688,1633,5208,2678,4584,0,1032,0.95,0.84,0.53,177,11.8,"c_1_344_598",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,598,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,14959.58,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,60.6,2,30.0672,3519,997,5529,3268,"c_1_344_598"
344,3214,0.78,67,86,927,1284,618,2340,3669,7436,2880,12880,3591,7184,0,2220,0.87,0.78,0.59,227,14.16,"c_1_344_599",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,599,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,23676.47,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,39.78,2,46.2816,3987,1008,5997,3257,"c_1_344_599"
344,3540,0.83,67,81,1016,1224,509,1092,2637,12492,1923,4908,2705,4984,0,1720,0.59,0.89,0.77,224,15.8,"c_1_344_600",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,600,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,16879.41,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,45.75,2,50.976,3013,1012,5023,3253,"c_1_344_600"
344,8056,0.89,127,113,1951,4340,420,684,314,636,339,640,891,3132,0,1996,0.92,0.8,0.55,356,22.63,"c_1_344_601",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,601,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,5395.63,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,38.72,2,116.0064,760,1033,2770,3232,"c_1_344_601"
344,3054,0.84,77,65,1703,5584,576,1272,916,2040,682,3300,2041,5336,0,1196,0.8,0.75,0.91,226,13.51,"c_1_344_602",1,"v6","?","Run0","S0","1nM","PILOT","tissue","WTx","protein",1,602,111005.23,238546.32,280105.088,483068.377000001,884195.694,2087400.77,3500619.54400001,11713.05,67,46942.55,63306.945,66579.824,69852.703,73125.582,76398.461,79016.7642,52.54,2,43.9776,1104,1010,3114,3255,"c_1_344_602"
